date,actual,predicted
2016-03-28,645312.0,642240.1
2016-03-29,653718.0,660381.9
2016-03-30,669377.0,651049.56
2016-03-31,647183.0,658795.75
2016-04-01,643887.0,632961.94
2016-04-02,575730.0,596985.06
2016-04-03,613591.0,574802.75
2016-04-04,694659.0,680521.8
2016-04-05,732212.0,692476.9
2016-04-06,726961.0,699853.94
2016-04-07,677642.0,699935.0
2016-04-08,677349.0,669233.7
2016-04-09,684426.0,630986.4
2016-04-10,657693.0,685215.56
2016-04-11,678108.0,748128.2
2016-04-12,652221.0,698144.8
2016-04-13,659281.0,668226.3
2016-04-14,655453.0,666786.9
2016-04-15,635371.0,654434.6
2016-04-16,574169.0,598569.3
2016-04-17,560705.0,579933.75
2016-04-18,637487.0,651103.1
2016-04-19,638661.0,653292.5
2016-04-20,628597.0,662251.8
2016-04-21,632803.0,647796.25
2016-04-22,646901.0,628919.75
2016-04-23,577214.0,611140.0
2016-04-24,545696.0,591195.56
2016-04-25,627345.0,668290.7
2016-04-26,656500.0,677608.9
2016-04-27,632867.0,658113.06
2016-04-28,642851.0,649418.56
2016-04-29,648343.0,634103.3
2016-04-30,580397.0,609610.94
2016-05-01,588087.0,577630.3
2016-05-02,646923.0,681956.1
2016-05-03,647569.0,656622.3
2016-05-04,650115.0,651452.5
2016-05-05,653757.0,653287.94
2016-05-06,653084.0,645405.25
2016-05-07,584392.0,610228.06
2016-05-08,548973.0,571427.25
2016-05-09,629041.0,632739.8
2016-05-10,634626.0,654139.9
2016-05-11,642149.0,637807.5
2016-05-12,646940.0,647884.5
2016-05-13,646184.0,639629.3
2016-05-14,574985.0,602754.5
2016-05-15,555659.0,578935.3
2016-05-16,632943.0,632615.75
2016-05-17,642224.0,693904.94
2016-05-18,637887.0,651603.3
2016-05-19,634505.0,640446.4
2016-05-20,628495.0,635727.5
2016-05-21,574294.0,597407.44
2016-05-22,566290.0,573487.56
2016-05-23,642257.0,672231.6
2016-05-24,665121.0,690556.8
2016-05-25,717707.0,679842.75
2016-05-26,790769.0,715714.3
2016-05-27,860417.0,806306.56
2016-05-28,822840.0,795913.8
2016-05-29,767435.0,772949.4
2016-05-30,748161.0,819216.9
2016-05-31,848139.0,739229.8
2016-06-01,851402.0,788388.6
2016-06-02,794912.0,768178.7
2016-06-03,756063.0,732351.7
2016-06-04,745250.0,681583.25
2016-06-05,720945.0,724400.75
2016-06-06,814326.0,803672.7
2016-06-07,821844.0,827959.8
2016-06-08,671844.0,810136.3
2016-06-09,655634.0,723511.5
2016-06-10,670598.0,708069.06
2016-06-11,734733.0,668682.3
2016-06-12,802522.0,748313.6
2016-06-13,718715.0,940755.8
2016-06-14,734382.0,786952.6
2016-06-15,756717.0,765862.44
2016-06-16,759086.0,776047.3
2016-06-17,750346.0,766504.5
2016-06-18,706170.0,733761.7
2016-06-19,750766.0,728018.2
2016-06-20,881579.0,885886.8
2016-06-21,899487.0,944361.7
2016-06-22,846956.0,946641.5
2016-06-23,823715.0,851232.25
2016-06-24,823397.0,823059.2
2016-06-25,764772.0,766139.9
2016-06-26,756078.0,751310.56
2016-06-27,838316.0,850780.56
2016-06-28,855871.0,894262.06
2016-06-29,836903.0,845046.6
2016-06-30,823599.0,835442.8
2016-07-01,843213.0,819698.6
2016-07-02,702937.0,812109.75
2016-07-03,646227.0,693904.94
2016-07-04,681599.0,767655.56
2016-07-05,883208.0,764163.1
2016-07-06,994141.0,876600.9
2016-07-07,1024175.0,920550.25
2016-07-08,985244.0,977201.56
2016-07-09,821754.0,900303.4
2016-07-10,773201.0,787020.3
2016-07-11,837321.0,850982.3
2016-07-12,894121.0,846490.44
2016-07-13,910964.0,894177.1
2016-07-14,1012587.0,920308.25
2016-07-15,1024756.0,992956.06
2016-07-16,914291.0,899730.3
2016-07-17,883329.0,879411.25
2016-07-18,989740.0,967840.3
2016-07-19,929473.0,1.00904044e+06
2016-07-20,885311.0,927251.0
2016-07-21,925088.0,891336.56
2016-07-22,1006072.0,906687.56
2016-07-23,1010123.0,913054.4
2016-07-24,952568.0,950925.6
2016-07-25,1066578.0,1.03747594e+06
2016-07-26,1028059.0,1.0421994e+06
2016-07-27,1028985.0,1.0539212e+06
2016-07-28,998398.0,1.0501489e+06
2016-07-29,948161.0,991469.9
2016-07-30,870043.0,824126.44
2016-07-31,866262.0,891393.94
2016-08-01,906687.0,948194.94
2016-08-02,882795.0,937721.7
2016-08-03,844169.0,907852.94
2016-08-04,850357.0,864709.4
2016-08-05,851820.0,839047.75
2016-08-06,894816.0,781804.7
2016-08-07,832704.0,863406.9
2016-08-08,870145.0,927503.0
2016-08-09,883552.0,894454.75
2016-08-10,1009398.0,873030.6
2016-08-11,1085411.0,977379.75
2016-08-12,1097393.0,1.04851656e+06
2016-08-13,1084460.0,1.0404651e+06
2016-08-14,1066256.0,1.0637458e+06
2016-08-15,1054533.0,1.0220266e+06
2016-08-16,1054043.0,1.04382625e+06
2016-08-17,1035239.0,1.0829529e+06
2016-08-18,971900.0,1.04627944e+06
2016-08-19,963179.0,940928.25
2016-08-20,897827.0,851901.44
2016-08-21,863792.0,902206.2
2016-08-22,827768.0,995359.8
2016-08-23,784632.0,890842.3
2016-08-24,845136.0,805016.25
2016-08-25,905141.0,872007.5
2016-08-26,1010066.0,900900.8
2016-08-27,896038.0,949049.56
2016-08-28,866232.0,872957.2
2016-08-29,968380.0,930140.9
2016-08-30,923203.0,955980.1
2016-08-31,943423.0,903615.06
2016-09-01,870745.0,921197.9
2016-09-02,771497.0,888028.3
2016-09-03,675121.0,722557.3
2016-09-04,651256.0,663579.06
2016-09-05,692502.0,721817.9
2016-09-06,839436.0,754337.2
2016-09-07,905479.0,862924.56
2016-09-08,998042.0,924451.2
2016-09-09,1052087.0,988294.6
2016-09-10,983908.0,931854.1
2016-09-11,853980.0,870613.5
2016-09-12,763947.0,876428.3
2016-09-13,803773.0,767291.94
2016-09-14,873545.0,763751.4
2016-09-15,759038.0,851707.2
2016-09-16,702204.0,780879.9
2016-09-17,669866.0,678260.2
2016-09-18,761806.0,674854.25
2016-09-19,811642.0,841108.3
2016-09-20,802975.0,824251.5
2016-09-21,798642.0,804366.5
2016-09-22,784996.0,798334.1
2016-09-23,791422.0,776836.44
2016-09-24,659208.0,692953.44
2016-09-25,580014.0,651057.56
2016-09-26,650281.0,682075.25
2016-09-27,687198.0,693458.75
2016-09-28,669860.0,716478.9
2016-09-29,668193.0,699526.94
2016-09-30,647561.0,682838.56
2016-10-01,596362.0,609367.3
2016-10-02,591818.0,593938.3
2016-10-03,664934.0,668318.2
2016-10-04,657605.0,677552.94
2016-10-05,646537.0,662436.3
2016-10-06,652865.0,653237.56
2016-10-07,649583.0,661948.44
2016-10-08,604400.0,595896.1
2016-10-09,574056.0,584178.4
2016-10-10,620295.0,660848.6
2016-10-11,640796.0,666999.1
2016-10-12,643097.0,663889.75
2016-10-13,647403.0,655244.3
2016-10-14,631480.0,638713.75
2016-10-15,581458.0,591488.3
2016-10-16,573038.0,582767.5
2016-10-17,669713.0,654228.2
2016-10-18,706561.0,673222.4
2016-10-19,743591.0,688780.75
2016-10-20,709676.0,707398.3
2016-10-21,695302.0,682743.7
2016-10-22,583379.0,617117.7
2016-10-23,572451.0,572772.8
2016-10-24,630120.0,655218.25
2016-10-25,649950.0,667241.7
2016-10-26,674151.0,653754.3
2016-10-27,686668.0,668281.0
2016-10-28,651955.0,665319.4
2016-10-29,608213.0,604030.94
2016-10-30,580163.0,589375.8
2016-10-31,628011.0,659281.1
2016-11-01,668962.0,666992.2
2016-11-02,652626.0,672290.3
2016-11-03,652717.0,658835.7
2016-11-04,628409.0,649581.06
2016-11-05,598388.0,605695.1
2016-11-06,581943.5,593515.56
2016-11-07,666597.0,659749.4
2016-11-08,674534.0,682216.4
2016-11-09,669040.0,675263.5
2016-11-10,666285.0,671173.2
2016-11-11,651929.0,662276.9
2016-11-12,635347.0,617023.0
2016-11-13,629670.0,617485.3
2016-11-14,694392.0,696041.5
2016-11-15,676457.0,697850.94
2016-11-16,684220.0,677333.3
2016-11-17,670300.0,684016.7
2016-11-18,666752.0,663109.3
2016-11-19,611526.0,626802.9
2016-11-20,675712.0,601454.5
2016-11-21,767818.0,734821.6
2016-11-22,758510.0,778738.8
2016-11-23,741405.0,758943.2
2016-11-24,638377.0,713987.44
2016-11-25,635035.0,649479.0
2016-11-26,635694.0,611982.06
2016-11-27,653373.0,617623.7
2016-11-28,724594.0,731588.4
2016-11-29,702224.0,734751.8
2016-11-30,683299.0,704750.75
2016-12-01,681252.0,682730.56
2016-12-02,711895.0,683858.8
2016-12-03,673229.0,663380.1
2016-12-04,666708.0,665873.94
2016-12-05,730739.0,731508.94
2016-12-06,768825.0,738104.56
2016-12-07,747120.0,758352.06
2016-12-08,784912.0,730294.25
2016-12-09,820408.0,759436.0
2016-12-10,783970.0,767378.2
2016-12-11,788732.0,760780.06
2016-12-12,786173.0,858701.1
2016-12-13,789434.0,763658.94
2016-12-14,790609.0,777098.9
2016-12-15,910254.0,766250.0
2016-12-16,954666.0,853020.6
2016-12-17,833678.0,869719.9
2016-12-18,720907.0,797842.9
2016-12-19,846218.0,780109.6
2016-12-20,878612.0,853000.75
2016-12-21,850325.0,874284.4
2016-12-22,789038.0,819795.06
2016-12-23,759178.0,796218.44
2016-12-24,707141.0,726717.0
2016-12-25,652902.0,702843.6
2016-12-26,723037.0,733021.75
2016-12-27,687291.0,737962.25
2016-12-28,738347.0,730037.1
2016-12-29,780164.0,738118.5
2016-12-30,773123.0,751305.75
2016-12-31,741369.0,710352.25
2017-01-01,655029.0,714421.06
2017-01-02,726240.0,731924.1
2017-01-03,757321.0,747892.0
2017-01-04,741344.0,792590.94
2017-01-05,839247.0,787639.56
2017-01-06,844751.0,854821.75
2017-01-07,878715.0,804906.3
2017-01-08,908878.0,842167.75
2017-01-09,972624.0,928681.56
2017-01-10,928956.0,946192.44
2017-01-11,776877.0,908342.0
2017-01-12,707614.0,777011.4
2017-01-13,696030.0,732618.75
2017-01-14,755114.0,688266.1
2017-01-15,724047.0,737209.7
2017-01-16,791119.0,826057.25
2017-01-17,773215.0,844693.44
2017-01-18,742800.0,807825.7
2017-01-19,734691.0,752939.1
2017-01-20,765329.0,752974.2
2017-01-21,675243.0,729104.4
2017-01-22,654606.0,689288.44
2017-01-23,766481.0,742649.3
2017-01-24,782241.0,799184.9
2017-01-25,730784.0,783351.2
2017-01-26,725182.0,742741.56
2017-01-27,760917.0,737293.4
2017-01-28,737350.0,720770.25
2017-01-29,714307.0,729495.6
2017-01-30,802897.0,780123.25
2017-01-31,826710.0,815469.2
2017-02-01,781295.0,806024.3
2017-02-02,772832.0,763633.2
2017-02-03,826185.0,748329.56
2017-02-04,789249.0,776982.3
2017-02-05,743295.0,773022.9
2017-02-06,739904.0,797881.8
2017-02-07,733238.0,751385.06
2017-02-08,684572.0,745942.5
2017-02-09,794610.0,717179.2
2017-02-10,854923.0,777926.3
2017-02-11,720512.0,798832.2
2017-02-12,702559.0,717831.3
2017-02-13,790989.0,787509.06
2017-02-14,796073.0,791467.94
2017-02-15,778580.0,784823.5
2017-02-16,812519.0,763806.75
2017-02-17,789711.0,812064.1
2017-02-18,671275.0,735708.75
2017-02-19,589332.0,648187.6
2017-02-20,649694.0,690846.4
2017-02-21,710979.0,688484.8
2017-02-22,690510.0,730137.6
2017-02-23,663922.0,708124.4
2017-02-24,634682.0,687814.06
2017-02-25,584267.0,614937.7
2017-02-26,641256.0,579946.1
2017-02-27,732053.0,695797.06
2017-02-28,679149.0,734335.1
2017-03-01,661779.0,682288.44
2017-03-02,679418.0,673047.4
2017-03-03,759184.0,674159.1
2017-03-04,764208.0,693944.25
2017-03-05,766049.0,731380.2
2017-03-06,764444.0,807906.7
2017-03-07,704149.0,758332.4
2017-03-08,661876.0,708307.2
2017-03-09,659923.0,695908.44
2017-03-10,734890.0,670798.44
2017-03-11,782474.0,659605.0
2017-03-12,769187.5,759698.56
2017-03-13,816240.0,838613.25
2017-03-14,803552.0,800978.6
2017-03-15,887990.0,782038.94
2017-03-16,840040.0,855949.6
2017-03-17,777649.0,795522.4
2017-03-18,712250.0,674836.44
2017-03-19,675334.0,693481.8
2017-03-20,722905.0,756206.6
2017-03-21,691343.0,728275.6
2017-03-22,719945.0,703184.5
2017-03-23,773957.0,703641.75
2017-03-24,733361.0,746674.06
2017-03-25,615357.0,690251.25
2017-03-26,636016.0,621635.1
2017-03-27,687212.0,727351.56
2017-03-28,674848.0,704159.06
2017-03-29,653532.0,690245.25
2017-03-30,690657.0,669171.56
2017-03-31,724345.0,682493.25
2017-04-01,649129.0,657764.3
2017-04-02,600743.0,629103.9
2017-04-03,651068.0,688693.7
2017-04-04,653354.0,674648.7
2017-04-05,633170.0,669940.1
2017-04-06,669993.0,656265.7
2017-04-07,692166.0,661576.0
2017-04-08,624183.0,619217.7
2017-04-09,583517.0,599977.4
2017-04-10,633382.0,659859.25
2017-04-11,653754.0,661635.56
2017-04-12,653390.0,650796.4
2017-04-13,618507.0,658327.2
2017-04-14,592320.0,637500.94
2017-04-15,563489.0,572243.06
2017-04-16,577256.0,579759.44
2017-04-17,638600.0,656037.56
2017-04-18,618275.0,658322.94
2017-04-19,628603.0,641061.75
2017-04-20,644146.0,656848.44
2017-04-21,638361.0,642527.0
2017-04-22,581258.0,594336.4
2017-04-23,557005.0,574840.2
2017-04-24,633961.0,646159.4
2017-04-25,653896.0,672393.44
2017-04-26,645817.0,646423.44
2017-04-27,660953.0,656032.94
2017-04-28,691512.0,654385.2
2017-04-29,682443.0,617682.4
2017-04-30,622159.0,669466.4
2017-05-01,682133.0,689202.94
2017-05-02,685126.0,703190.2
2017-05-03,629328.0,673160.8
2017-05-04,623841.0,650452.1
2017-05-05,648939.0,634061.75
2017-05-06,577394.0,605755.8
2017-05-07,563833.0,570194.7
2017-05-08,630501.0,638497.06
2017-05-09,632528.0,667864.75
2017-05-10,631419.0,654407.3
2017-05-11,636040.0,640126.4
2017-05-12,626291.0,633228.75
2017-05-13,594056.0,593179.0
2017-05-14,558838.0,617891.7
2017-05-15,619820.0,665814.6
2017-05-16,650886.0,706092.06
2017-05-17,763689.0,651281.25
2017-05-18,894299.0,737263.9
2017-05-19,912782.0,850112.4
2017-05-20,629486.0,820180.94
2017-05-21,556543.0,617582.8
2017-05-22,645339.0,648743.0
2017-05-23,645724.0,690936.0
2017-05-24,644889.0,642135.44
2017-05-25,650011.0,650474.9
2017-05-26,646107.0,664642.3
2017-05-27,590294.0,610266.7
2017-05-28,578585.0,582038.06
2017-05-29,588682.0,627132.94
2017-05-30,647165.0,610556.25
2017-05-31,691175.0,672525.44
2017-06-01,708891.0,702527.0
2017-06-02,679839.0,727617.6
